Global ID,Bank,#,Original Question,Simplified Question,Answer Options,Correct Answer,Classification,Why This Matters (Plain Language),Source,Source Details
1,Financial Literacy (30),1,"Suppose you had $100 in a savings account and the interest rate was 2% per year. After 5 years, how much do you think you would have in the account if you left the money to grow?","You put $100 in a savings account earning 2% interest per year. After 5 years, will you have: more than $102, exactly $102, or less than $102?","A) More than $102
B) Exactly $102
C) Less than $102
D) Do not know",A) More than $102,Compound Interest,"Your money earns interest, then that interest earns MORE interest (compound interest). After 5 years at 2%, you'd have about $110. This is how savings grow over time - money makes money!",Financial_Literacy_Questions_30_Simplified_orignal.xlsx,"Item bank with original and simplified wording, answer options, and answer key."
2,Financial Literacy (30),2,"Imagine that the interest rate on your savings account was 1% per year and inflation was 2% per year. After 1 year, how much would you be able to buy with the money in this account?","Your savings earn 1% interest, but prices rise 2% per year. After 1 year, can you buy MORE, the SAME, or LESS stuff with your savings?","A) More than today
B) Exactly the same
C) Less than today
D) Do not know",C) Less than today,Inflation,"If prices rise faster than your savings grow, you can buy LESS even though you have more dollars. This is why inflation matters - your money loses 'buying power' if it's not keeping up.",Financial_Literacy_Questions_30_Simplified_orignal.xlsx,"Item bank with original and simplified wording, answer options, and answer key."
3,Financial Literacy (30),3,Please tell me whether this statement is true or false: Buying a single company's stock usually provides a safer return than a stock mutual fund.,Is it SAFER to own stock in ONE company or to own a fund with stocks from MANY companies?,"A) True
B) False
C) Do not know",B) False,Risk Diversification,"FALSE - a mutual fund is safer. If you own just one company and it fails, you lose everything. A fund owns hundreds of stocks, so one company failing barely hurts you. Don't put all eggs in one basket!",Financial_Literacy_Questions_30_Simplified_orignal.xlsx,"Item bank with original and simplified wording, answer options, and answer key."
4,Financial Literacy (30),4,"If interest rates rise, what will typically happen to bond prices?","When interest rates GO UP, what happens to the price of bonds you already own?","A) They will rise
B) They will fall
C) They will stay the same
D) There is no relationship
E) Do not know",B) They will fall,Investing,"Bond prices FALL. When new bonds offer higher interest, your old bond with a lower rate is worth less. It's like trying to sell an old phone when better models come out.",Financial_Literacy_Questions_30_Simplified_orignal.xlsx,"Item bank with original and simplified wording, answer options, and answer key."
5,Financial Literacy (30),5,"A 15-year mortgage typically requires higher monthly payments than a 30-year mortgage, but the total interest paid over the life of the loan will be less. True or false?",A 15-year mortgage has HIGHER monthly payments but LOWER total interest than a 30-year mortgage. True or false?,"A) True
B) False
C) Do not know",A) True,Borrowing/Mortgages,TRUE. Paying faster means bigger monthly bills but WAY less interest overall. A 30-year mortgage might cost you twice as much in total interest! Time = money with loans.,Financial_Literacy_Questions_30_Simplified_orignal.xlsx,"Item bank with original and simplified wording, answer options, and answer key."
6,Financial Literacy (30),6,High inflation means that the cost of living is increasing rapidly. True or false?,Does 'high inflation' mean that everyday things like food and rent are getting more expensive quickly?,"A) True
B) False
C) Do not know",A) True,Inflation,"TRUE. Inflation = rising prices. High inflation means your grocery bill, rent, and gas prices are climbing fast. Understanding this helps you plan your budget and savings.",Financial_Literacy_Questions_30_Simplified_orignal.xlsx,"Item bank with original and simplified wording, answer options, and answer key."
7,Financial Literacy (30),7,"If someone offers you the chance to make a lot of money, it is likely that there is also a chance that you will lose a lot of money. True or false?","If someone promises you can make BIG money, is there usually also a big chance of LOSING money?","A) True
B) False
C) Do not know",A) True,Investing,"TRUE. High reward = high risk. There's no free lunch in investing. If it sounds too good to be true, it probably is. Scammers love to promise 'guaranteed' high returns.",Financial_Literacy_Questions_30_Simplified_orignal.xlsx,"Item bank with original and simplified wording, answer options, and answer key."
8,Financial Literacy (30),8,You lend $25 to a friend one evening and he gives you $25 back the next day. How much interest has he paid on this loan?,You lend a friend $25 tonight and they pay you back $25 tomorrow. How much interest did you earn?,"A) $25
B) $0
C) Do not know",B) $0,Borrowing/Interest,"ZERO. Interest is the EXTRA money paid for borrowing. If they paid back the same amount, there's no interest. Interest is like a rental fee for using someone else's money.",Financial_Literacy_Questions_30_Simplified_orignal.xlsx,"Item bank with original and simplified wording, answer options, and answer key."
9,Financial Literacy (30),9,"Imagine that five friends are given a gift of $1,000. If the friends have to share the money equally, how much does each one get?","Five friends split $1,000 equally. How much does each person get?","A) $100
B) $150
C) $200
D) $250
E) Do not know",$200,Numeracy,"$1,000 ÷ 5 = $200 each. Basic division is essential for budgeting - splitting bills, calculating tips, dividing expenses among roommates.",Financial_Literacy_Questions_30_Simplified_orignal.xlsx,"Item bank with original and simplified wording, answer options, and answer key."
10,Financial Literacy (30),10,An investment with a high return is likely to be high risk. True or false?,Do investments that promise HIGH returns usually come with HIGH risk?,"A) True
B) False
C) Do not know",A) True,Investing,TRUE. This is the golden rule of investing. Stocks return more than savings accounts because they're riskier. Anyone promising high returns with no risk is lying or scamming.,Financial_Literacy_Questions_30_Simplified_orignal.xlsx,"Item bank with original and simplified wording, answer options, and answer key."
