attempt_id,submission_type,item_id,question_stem,domain,subdomain,response_type,student_answer,score,confidence,answered_at
001ecfb2-a613-4263-aedc-3e86370b9f11,pre,Q10_Open_Diagnose,"You were asked: Which statement about credit reports is FALSE? Options were A) Employers use them to screen applicants, B) They include a credit worthiness assessment, C) They are provided by a single source. You answered [student's answer] with high confidence, indicating you thought that statement was false. In 1-2 sentences, explain your reasoning.",Borrowing & Credit,Credit Reports,diagnose,I should have put C. You can check your credit score from a couple of sources.,50.00,1,2026-02-09 00:24:16.349128+00
001ecfb2-a613-4263-aedc-3e86370b9f11,pre,Q35_Open_Confirm,"You were asked whether opportunities to make a lot of money also come with chances to lose a lot. You answered ""True,"" which is correct. In 1-2 sentences, explain why high reward opportunities typically involve high risk.",Investment & Risk,Risk-Return Relationship,confirm,"High rewards typically involve high risk because if it was low risk everyone would do it, so it would be worth less.",50.00,1,2026-02-09 00:25:27.667818+00
001ecfb2-a613-4263-aedc-3e86370b9f11,pre,Q36_Open_Confirm,"You were asked whether saving money in more than one place reduces the risk of losing everything. You answered ""True,"" which is correct. In 1-2 sentences, explain why spreading your savings across multiple places is safer.",Investment & Risk,Diversification Principle,confirm,"If you put all your money into one thing like a stock and it loses value, you lose all your money. I f you use a mutual fund you only lose some money.",50.00,1,2026-02-09 00:24:56.759261+00
002fdf2b-9540-4bec-a9c2-3b77e6f91c6c,pre,Q6_Open_Diagnose,"You were asked: A successful effort to lower inflation would likely be accompanied by which of the following? Options were A) A decrease in the general level of prices, B) A slower increase in prices, C) An increase in employment. You answered [student's answer] with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Borrowing & Credit,Inflation (Lowering),diagnose,I chose a decrease in the general level of prices because lower inflation equals lower prices.,50.00,3,2026-02-07 23:47:56.242558+00
02a22b1f-2e74-4737-ae4a-98db698b32ff,pre,Q14_Open_Confirm,"You were asked what happens to risk when an investor spreads money among different assets. You answered ""decreases,"" which is correct. In 1-2 sentences, explain why spreading investments reduces risk.",Risk Management,Diversification Principle,confirm,It would be diversification would be the cause of reducing risk because different assets often react differently. 11 investment is performing poorly. Another may be performing well therefore can have you a good overall system.,50.00,2,2026-02-08 18:47:56.040186+00
02a22b1f-2e74-4737-ae4a-98db698b32ff,pre,Q4_Open_Diagnose,"You were asked: If you lend $25 to a friend and he gives you $25 back the next day, how much interest has he paid? The options were A) $25, B) $0. You answered ""$25"" with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Borrowing & Credit,Borrowing/Interest,diagnose,"I would have to say B, because the amount of interest paid is the fee charge for borrowing the money therefore, your friend would be required to return that exact amount borrowed.",50.00,3,2026-02-08 18:46:38.49217+00
02a22b1f-2e74-4737-ae4a-98db698b32ff,pre,Q5_Open_Diagnose,"You were asked: How much should Lyle have set aside for emergency savings? The options were A) $200 or so, B) One month's rent, C) Three or more months of expenses. You answered [student's answer] with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Borrowing & Credit,Emergency Fund,diagnose,I would say see just because of the guidelines for emergencies savings to have enough funds to cover 3 to 6 months this with insurance and financial safety net in case of job loss.,50.00,3,2026-02-08 18:45:54.732937+00
030ad865-6ab9-478a-baec-b6fe2da8d2ae,pre,Q11_Open_Diagnose,"You were asked: Is buying a single company's stock usually safer than a stock mutual fund? True or false? You answered ""True"" with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Risk Management,Diversification (Stock vs Fund),diagnose,no clue,50.00,3,2026-02-08 23:08:51.576214+00
030ad865-6ab9-478a-baec-b6fe2da8d2ae,pre,Q2_Open_Diagnose,"You were asked: A 15-year mortgage typically requires higher monthly payments than a 30-year mortgage, but the total interest paid over the life of the loan will be less. True or false? You answered ""False"" with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Borrowing & Credit,Borrowing/Mortgages,diagnose,No clue,50.00,3,2026-02-08 23:08:36.853502+00
030ad865-6ab9-478a-baec-b6fe2da8d2ae,pre,Q8_Open_Diagnose,"You were asked: What can Jayden likely negotiate with an auto loan lender? Options were A) Interest rate only, B) Down payment only, C) Both, D) Neither. You answered [student's answer] with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Borrowing & Credit,Auto Loans,diagnose,no clue,50.00,3,2026-02-08 23:08:43.084903+00
