Section,Q#,Category,Subcategory,Bank,Bank Q#,Original Question,Answer Options,Correct Answer,Source
Baseline (Not Scored),1,Baseline Covariates (Not Scored),Demographic Characteristics,Introduction/Baseline,1,What is your gender?,"A) Female
B) Male
C) Prefer not to say",,Introduction.docx (baseline section)
Baseline (Not Scored),2,Baseline Covariates (Not Scored),Demographic Characteristics,Introduction/Baseline,2,Which category best describes your racial or ethnic background?,"A) White or Caucasian
B) Asian
C) Black or African American
D) Hispanic or Latino
E) Native Hawaiian or Pacific Islander
F) Native American or Alaska Native
G) Two or more racial or ethnic backgrounds
H) Other
I) Prefer not to say",,Introduction.docx (baseline section)
Baseline (Not Scored),3,Baseline Covariates (Not Scored),Demographic Characteristics,Introduction/Baseline,3,What is your age range?,"A) 20 or under
B) Above 20",,Introduction.docx (baseline section)
Baseline (Not Scored),4,Baseline Covariates (Not Scored),Demographic Characteristics,Introduction/Baseline,4,What is your first language?,"A) English
B) Spanish
C) Chinese (any dialect)
D) French
E) Russian
F) Dutch
G) Other (please specify): ________",,Introduction.docx (baseline section)
Baseline (Not Scored),5,Baseline Covariates (Not Scored),Demographic Characteristics,Introduction/Baseline,5,Do you have work experience?,"A) No work experience
B) Part-time employment
C) Full-time employment",,Introduction.docx (baseline section)
Baseline (Not Scored),6,Baseline Covariates (Not Scored),Financial Background & Context,Introduction/Baseline,6,"Prior to enrolling in this course, had you personally used any of the following financial products? (Select all that apply)","A) Credit card
B) Student loan
C) Auto loan
D) Investment account (stocks, ETFs, mutual funds)
E) Insurance policy in your own name
F) None of the above",,Introduction.docx (baseline section)
Baseline (Not Scored),7,Baseline Covariates (Not Scored),Financial Background & Context,Introduction/Baseline,7,"Before enrolling in this course, how would you rate your overall financial knowledge?","A) Very low
B) Low
C) Moderate
D) High
E) Very high",,Introduction.docx (baseline section)
Baseline (Not Scored),8,Baseline Covariates (Not Scored),Financial Background & Context,Introduction/Baseline,8,How often do you feel financially stressed?,"A) Never
B) Rarely
C) Sometimes
D) Often
E) Always",,Introduction.docx (baseline section)
Scored,1,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Compound Interest,Financial Literacy (30),1,"Suppose you had $100 in a savings account and the interest rate was 2% per year. After 5 years, how much do you think you would have in the account if you left the money to grow?","A) More than $102
B) Exactly $102
C) Less than $102
D) Do not know",A) More than $102,Financial_Literacy_Questions_30_Simplified_orignal.xlsx
Scored,2,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Inflation,Financial Literacy (30),2,"Imagine that the interest rate on your savings account was 1% per year and inflation was 2% per year. After 1 year, how much would you be able to buy with the money in this account?","A) More than today
B) Exactly the same
C) Less than today
D) Do not know",C) Less than today,Financial_Literacy_Questions_30_Simplified_orignal.xlsx
Scored,3,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Inflation,Financial Literacy (30),17,A successful effort to lower inflation would likely be accompanied by which of the following?,"A) A decrease in the general level of prices
B) A slower increase in prices
C) An increase in employment
D) Do not know",B) A slower increase in prices,Financial_Literacy_Questions_30_Simplified_orignal.xlsx
Scored,4,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Inflation,Financial Literacy (30),18,Inflation can cause difficulty in many ways. Which group would have the greatest problem during periods of high inflation?,"A) Young couples with no children who both work
B) Older, working couples saving for retirement
C) Retirees living on a fixed income
D) Do not know",C) Retirees living on a fixed income,Financial_Literacy_Questions_30_Simplified_orignal.xlsx
Scored,5,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Borrowing/Mortgages,Financial Literacy (30),5,"A 15-year mortgage typically requires higher monthly payments than a 30-year mortgage, but the total interest paid over the life of the loan will be less. True or false?","A) True
B) False
C) Do not know",A) True,Financial_Literacy_Questions_30_Simplified_orignal.xlsx
Scored,6,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Borrowing/Interest,Financial Literacy (30),8,You lend $25 to a friend one evening and he gives you $25 back the next day. How much interest has he paid on this loan?,"A) $25
B) $0
C) Do not know",B) $0,Financial_Literacy_Questions_30_Simplified_orignal.xlsx
Scored,7,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Borrowing,Financial Literacy (30),22,Jayden is shopping for an auto loan. Which of the following can he likely negotiate with the lender?,"A) The interest rate
B) The required down payment
C) Both
D) Neither
E) Do not know",C) Both,Financial_Literacy_Questions_30_Simplified_orignal.xlsx
Scored,8,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Borrowing/Credit,Financial Literacy (30),24,Which of the following statements regarding credit reports is FALSE?,"A) Credit reports are used by employers to screen job applicants
B) A credit report includes an assessment of your worthiness to receive credit
C) Your credit report is provided by a single source
D) Do not know",C) Your credit report is provided by a single source,Financial_Literacy_Questions_30_Simplified_orignal.xlsx
Scored,9,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Saving,Financial Literacy (30),16,"Lyle has a good job and earns enough to pay his bills comfortably each month. In terms of his emergency savings, how much should he have set aside?","A) $200 or so
B) Money equal to his share of one month's rent/mortgage
C) The equivalent of three or more months of living expenses
D) Do not know",C) The equivalent of three or more months of living expenses,Financial_Literacy_Questions_30_Simplified_orignal.xlsx
Scored,10,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Saving/Budgeting,Financial Literacy (30),15,"If a young person with a long-term investment horizon has money to invest, which will typically produce the best returns?","A) Savings account
B) Government bonds
C) Stocks
D) Do not know",C) Stocks,Financial_Literacy_Questions_30_Simplified_orignal.xlsx
Scored,11,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Earning,Financial Literacy (30),23,"Considering the strategy of allocating income, what is the PRIMARY advantage to your household of making a budget?","A) Ensures funds are available for bill paying and saving
B) Reduces your taxes
C) Increases rate of return on your investments
D) Do not know",A) Ensures funds are available for bill paying and saving,Financial_Literacy_Questions_30_Simplified_orignal.xlsx
Scored,12,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Numeracy,Financial Literacy (30),9,"Imagine that five friends are given a gift of $1,000. If the friends have to share the money equally, how much does each one get?","A) $100
B) $150
C) $200
D) $250
E) Do not know",$200,Financial_Literacy_Questions_30_Simplified_orignal.xlsx
Scored,13,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Numeracy,Financial Literacy (30),19,"A family member tells Wendy that her hourly wage will be cut 10% if she stays at her current job. In addition, her work hours would also be cut 10%. What best describes how her paycheck would change?","A) It would decrease by less than 20%
B) It would decrease by 20%
C) It would decrease by more than 20%
D) Do not know",A) It would decrease by less than 20%,Financial_Literacy_Questions_30_Simplified_orignal.xlsx
Scored,14,Behavioral and Risk Management Knowledge,Insurance,Financial Literacy (30),20,Which of the following best describes the PRIMARY function of health insurance?,"A) Protect against the possibility of large unexpected medical bills
B) Cover the cost of routine health care expenses
C) Pay for elective medical procedures
D) Do not know",A) Protect against the possibility of large unexpected medical bills,Financial_Literacy_Questions_30_Simplified_orignal.xlsx
Scored,15,Behavioral and Risk Management Knowledge,Insurance,Financial Literacy (30),21,What does a home insurance deductible represent?,"A) Amount you pay before insurance covers damages
B) Monthly premium for coverage
C) Maximum amount insurance will pay
D) Do not know",A) Amount you pay before insurance covers damages,Financial_Literacy_Questions_30_Simplified_orignal.xlsx
Scored,16,Behavioral and Risk Management Knowledge,Risk Diversification,Financial Literacy (30),25,"When an investor spreads money among different assets, the risk of losing money usually:","A) Increases
B) Decreases
C) Stays the same
D) Do not know",B) Decreases,Financial_Literacy_Questions_30_Simplified_orignal.xlsx
Scored,17,Behavioral and Risk Management Knowledge,Retirement/Annuities,Financial Literacy (30),30,Which of the following statements about annuities is TRUE?,"A) An annuity provides income in retirement that one cannot outlive
B) An annuity lets you invest in stocks without risk
C) An annuity is guaranteed by the FDIC
D) Do not know",A) An annuity provides income in retirement that one cannot outlive,Financial_Literacy_Questions_30_Simplified_orignal.xlsx
Scored,18,Behavioral and Risk Management Knowledge,Loss Aversion,Behavioral Financial Literacy (docx),27,Your retirement account drops 20% due to a market downturn. How do you react?,"A) Sell everything ,I can’t risk losing more
B) Do nothing ,markets recover over time
C) Invest more ,buy while prices are low
D) Move funds to safer options like bonds or cash",,Behavioral Financial Literacy questions.docx
Scored,19,Behavioral and Risk Management Knowledge,Risk Choice,Behavioral Financial Literacy (docx),30,"You’re offered a 50/50 chance to either win $1,000 or lose $500. What do you choose?","A) Take the risk , the reward is worth it
B) Decline , I don’t like the idea of losing money
C) Only accept if I have money to spare
D) Ask others what they would do",,Behavioral Financial Literacy questions.docx
Scored,20,Behavioral and Risk Management Knowledge,Social Influence and Herding,Behavioral Financial Literacy (docx),32,You hear that everyone is investing in a new crypto asset. What do you do?,"A) Invest quickly, don’t miss out
B) Put in a small amount just in case
C) Research carefully before acting
D) Stay out, I avoid hype",,Behavioral Financial Literacy questions.docx
Scored,21,Behavioral and Risk Management Knowledge,Decision Style,Behavioral Financial Literacy (docx),36,"When faced with a complex financial decision, how do you typically proceed?","A) Do extensive research and consider all outcomes
B) Go with your intuition or gut feeling
C) Rely on advice from friends or family
D) Delay the decision until you feel more confident",,Behavioral Financial Literacy questions.docx
Scored,22,Behavioral and Risk Management Knowledge,Risk Confidence,Behavioral Financial Literacy (docx),37,How confident are you in recognizing when an investment is too risky for your situation?,"A) Very confident , I understand my risk limits
B) Somewhat confident , I can tell when it’s extreme
C) Not very confident , I often second-guess
D) I usually rely on others to decide for me",,Behavioral Financial Literacy questions.docx
Scored,23,Behavioral and Risk Management Knowledge,Scam Skepticism,Behavioral Financial Literacy (docx),44,"If an investment opportunity promises unusually high returns with little explanation of how, what do you do?","A) Invest a small amount just to test it
B) Ask for more details and do research
C) Avoid it ,it seems too good to be true
D) Immediately take advantage before it’s gone",,Behavioral Financial Literacy questions.docx
Scored,24,Risk and Return Knowledge,Investing/Risk-Return,Financial Literacy (30),4,"If interest rates rise, what will typically happen to bond prices?","A) They will rise
B) They will fall
C) They will stay the same
D) There is no relationship
E) Do not know",B) They will fall,Financial_Literacy_Questions_30_Simplified_orignal.xlsx
Scored,25,Risk and Return Knowledge,Investing/Risk-Return,Financial Literacy (30),14,Which of the following best describes what the stock market does?,"A) Results in a gain in wealth for investors
B) Creates liquidity by guaranteeing investors a profit
C) Brings people who want to buy stocks together with those who want to sell stocks
D) Do not know",C) Brings people who want to buy stocks together with those who want to sell stocks,Financial_Literacy_Questions_30_Simplified_orignal.xlsx
Scored,26,Risk and Return Knowledge,Investing/Risk-Return,Financial Literacy (30),27,"Considering a long time period (e.g., 10-20 years), which asset normally gives the highest return?","A) Savings accounts
B) Bonds
C) Stocks
D) Do not know",C) Stocks,Financial_Literacy_Questions_30_Simplified_orignal.xlsx
Scored,27,Risk and Return Knowledge,Crisis/Systemic Risk,Additional Item (Crisis),1,What was a key factor contributing to the 2007 to 2008 financial crisis?,"A) Strong regulation of mortgage lending
B) Widespread failure to properly assess and manage financial risk
C) High household savings rates
D) Low levels of borrowing by households",B) Widespread failure to properly assess and manage financial risk,
Scored,28,Risk and Return Knowledge,Conditional Probability,Risk Literacy (30),1,"Out of 1,000 people in a small town 500 are members of a choir. Out of these 500 members in the choir 100 are men. Out of the 500 inhabitants that are not in the choir 300 are men. What is the probability that a randomly drawn man is a member of the choir? Please indicate the probability in percent.","A) 12.5%
B) 15%
C) 25%
D) 35%
E) Do not know",25%,Risk_Literacy_Questions_30_Simplified.xlsx
Scored,29,Risk and Return Knowledge,Expected Value,Risk Literacy (30),13,"There's a 50/50 chance that Malik's car will need engine repairs within the next six months which would cost $1,000. At the same time there is a 10% chance that he will need to replace the air conditioning unit in his house, which would cost $4,000. Which poses the greater financial risk for Malik?","A) The car engine repairs
B) The air conditioning replacement
C) Both pose the same financial risk
D) Do not know",A) The car engine repairs,Risk_Literacy_Questions_30_Simplified.xlsx
Scored,30,Risk and Return Knowledge,Base Rate/Bayes,Risk Literacy (30),29,"A disease affects 1 in 1,000 people. A test for the disease is 99% accurate (it correctly identifies 99% of people who have the disease and 99% of people who don't have it). If a person tests positive, what is the approximate probability they actually have the disease?","A) About 99%
B) About 50%
C) About 10%
D) About 1%
E) Do not know",C) About 10%,Risk_Literacy_Questions_30_Simplified.xlsx
