section,subsection,range,question_id,question_text,tags,options,correct_answer
Baseline Covariates (Not Scored),Demographic Characteristics,Q1–Q5,B1,What is your gender?,Demographic Characteristics,A) Female | B) Male | C) Prefer not to say,
Baseline Covariates (Not Scored),Demographic Characteristics,Q1–Q5,B2,Which category best describes your racial or ethnic background?,Demographic Characteristics,A) White or Caucasian | B) Asian | C) Black or African American | D) Hispanic or Latino | E) Native Hawaiian or Pacific Islander | F) Native American or Alaska Native | G) Two or more racial or ethnic backgrounds | H) Other | I) Prefer not to say,
Baseline Covariates (Not Scored),Demographic Characteristics,Q1–Q5,B3,What is your age range?,Demographic Characteristics,A) 20 or under | B) Above 20,
Baseline Covariates (Not Scored),Demographic Characteristics,Q1–Q5,B4,What is your first language?,Demographic Characteristics,A) English | B) Spanish | C) Chinese (any dialect) | D) French | E) Russian | F) Dutch | G) Other (please specify): ________,
Baseline Covariates (Not Scored),Demographic Characteristics,Q1–Q5,B5,Do you have work experience?,Demographic Characteristics,A) No work experience | B) Part-time employment | C) Full-time employment,
Baseline Covariates (Not Scored),Financial Background & Context,Q6–Q10,B6,"Prior to enrolling in this course, had you personally used any of the following financial products? (Select all that apply)",Financial Background & Context,"A) Credit card | B) Student loan | C) Auto loan | D) Investment account (stocks, ETFs, mutual funds) | E) Insurance policy in your own name | F) None of the above",
Baseline Covariates (Not Scored),Financial Background & Context,Q6–Q10,B7,"Before enrolling in this course, how would you rate your overall financial knowledge?",Financial Background & Context,A) Very low | B) Low | C) Moderate | D) High | E) Very high,
Baseline Covariates (Not Scored),Financial Background & Context,Q6–Q10,B8,How often do you feel financially stressed?,Financial Background & Context,A) Never | B) Rarely | C) Sometimes | D) Often | E) Always,
Baseline Covariates (Not Scored),Financial Background & Context,Q6–Q10,B9,Highest Level of Parental Education,Financial Background & Context | Student loan debt status,"A) Less than high school | B) High school diploma or GED | C) Some college, no degree | D) Associate degree (AA/AS) | E) Bachelor’s degree (BA/BS) | F) Graduate or professional degree (MA/MS/MBA/PhD/MD/JD, etc.) | G) Don’t know | H) Prefer not to answer",
Baseline Covariates (Not Scored),Financial Background & Context,Q6–Q10,B10,Are you a first-generation college student?,Financial Background & Context | Student loan debt status,A) Yes | B) No | C) Prefer not to say,
Baseline Covariates (Not Scored),Student loan debt status,Q11–Q13,B11,Do you currently have any student loan debt?,Student loan debt status,A) Yes | B) No | C) Prefer not to say,
Baseline Covariates (Not Scored),Student loan debt status,Q11–Q13,B12,"If yes, what is the interest rate on your student loan debt (best estimate)?",Student loan debt status,A) Less than 5% | B) Between 5% and 10% | C) Above 10% | D) I do not know | E) Prefer not to say,
Baseline Covariates (Not Scored),Student loan debt status,Q11–Q13,B13,"If yes, what is the maturity of your student loan (time until fully repaid) (best estimate)?",Student loan debt status,A) Less than 5 years | B) 5 to 10 years | C) More than 10 years | D) Do not know | E) Prefer not to say,
"Borrowing, Interest Rates, and Financial Numeracy Knowledge",,"Q1–Q10, 10 items",1,"Suppose you had $100 in a savings account and the interest rate was 2% per year. After 5 years, how much do you think you would have in the account if you left the money to grow?",Compound Interest,A) More than $102 | B) Exactly $102 | C) Less than $102 | D) Do not know,A
"Borrowing, Interest Rates, and Financial Numeracy Knowledge",,"Q1–Q10, 10 items",2,"A 15-year mortgage typically requires higher monthly payments than a 30-year mortgage, but the total interest paid over the life of the loan will be less. True or false?",Borrowing/Mortgages,A) True | B) False | C) Do not know,A
"Borrowing, Interest Rates, and Financial Numeracy Knowledge",,"Q1–Q10, 10 items",3,High inflation means that the cost of living is increasing rapidly. True or false?,Inflation,A) True | B) False | C) Do not know,A
"Borrowing, Interest Rates, and Financial Numeracy Knowledge",,"Q1–Q10, 10 items",4,You lend $25 to a friend one evening and he gives you $25 back the next day. How much interest has he paid on this loan?,Borrowing/Interest,A) $25 | B) $0 | C) Do not know,B
"Borrowing, Interest Rates, and Financial Numeracy Knowledge",,"Q1–Q10, 10 items",5,"Lyle has a good job and earns enough to pay his bills comfortably each month. In terms of his emergency savings, how much should he have set aside?",Saving,A) $200 or so | B) Money equal to his share of one month's rent/mortgage | C) The equivalent of three or more months of living expenses | D) Do not know,C
"Borrowing, Interest Rates, and Financial Numeracy Knowledge",,"Q1–Q10, 10 items",6,A successful effort to lower inflation would likely be accompanied by which of the following?,Inflation,A) A decrease in the general level of prices | B) A slower increase in prices | C) An increase in employment | D) Do not know,B
"Borrowing, Interest Rates, and Financial Numeracy Knowledge",,"Q1–Q10, 10 items",7,Inflation can cause difficulty in many ways. Which group would have the greatest problem during periods of high inflation?,Inflation,"A) Young couples with no children who both work | B) Older, working couples saving for retirement | C) Retirees living on a fixed income | D) Do not know",C
"Borrowing, Interest Rates, and Financial Numeracy Knowledge",,"Q1–Q10, 10 items",8,Jayden is shopping for an auto loan. Which of the following can he likely negotiate with the lender?,Borrowing,A) The interest rate | B) The required down payment | C) Both | D) Neither | E) Do not know,C
"Borrowing, Interest Rates, and Financial Numeracy Knowledge",,"Q1–Q10, 10 items",9,"Considering the strategy of allocating income, what is the PRIMARY advantage to your household of making a budget?",Earning,A) Ensures funds are available for bill paying and saving | B) Reduces your taxes | C) Increases rate of return on your investments | D) Do not know,A
"Borrowing, Interest Rates, and Financial Numeracy Knowledge",,"Q1–Q10, 10 items",10,Which of the following statements regarding credit reports is FALSE?,Borrowing/Credit,A) Credit reports are used by employers to screen job applicants | B) A credit report includes an assessment of your worthiness to receive credit | C) Your credit report is provided by a single source | D) Do not know,C
Behavioral and Risk Management Knowledge,Factual knowledge,Q11–Q14,11,Please tell me whether this statement is true or false: Buying a single company's stock usually provides a safer return than a stock mutual fund.,Risk Diversification,A) True | B) False | C) Do not know,B
Behavioral and Risk Management Knowledge,Factual knowledge,Q11–Q14,12,Which of the following best describes the PRIMARY function of health insurance?,Insurance,A) Protect against the possibility of large unexpected medical bills | B) Cover the cost of routine health care expenses | C) Pay for elective medical procedures | D) Do not know,A
Behavioral and Risk Management Knowledge,Factual knowledge,Q11–Q14,13,What does a home insurance deductible represent?,Insurance,A) Amount you pay before insurance covers damages | B) Monthly premium for coverage | C) Maximum amount insurance will pay | D) Do not know,A
Behavioral and Risk Management Knowledge,Factual knowledge,Q11–Q14,14,"When an investor spreads money among different assets, the risk of losing money usually:",Risk Diversification,A) Increases | B) Decreases | C) Stays the same | D) Do not know,B
Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,Q15–Q28,15,"You receive a $10,000 bonus. What would you most likely do with it?",Allocation Preference,A) Put it in a high-interest savings account for safety | B) Invest it in mutual funds or ETFs for steady growth | C) Buy individual stocks with potential for high return | D) Spend most of it and save the rest later,B
Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,Q15–Q28,16,Your retirement account drops 20% due to a market downturn. How do you react?,Loss Aversion,"A) Sell everything, I can't risk losing more | B) Do nothing, markets recover over time | C) Invest more, buy while prices are low | D) Move funds to safer options like bonds or cash",C
