attempt_id,submission_type,submitted_at,duration_s,item_id,item_type,domain,subdomain,is_anchor,is_scored,student_answer,item_score,confidence,answered_at
001ecfb2-a613-4263-aedc-3e86370b9f11,pre,2026-02-09 00:26:25.323+00,674,Q1,,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Compound Interest,t,t,"""A""",100.00,2,2026-02-09 00:15:10.38526+00
001ecfb2-a613-4263-aedc-3e86370b9f11,pre,2026-02-09 00:26:25.323+00,674,Q10,,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Credit Reports,t,t,"""B""",0.00,3,2026-02-09 00:15:33.372163+00
001ecfb2-a613-4263-aedc-3e86370b9f11,pre,2026-02-09 00:26:25.323+00,674,Q11,,Behavioral and Risk Management Knowledge,Risk Diversification,t,t,"""B""",100.00,2,2026-02-09 00:15:47.102877+00
001ecfb2-a613-4263-aedc-3e86370b9f11,pre,2026-02-09 00:26:25.323+00,674,Q12,,Behavioral and Risk Management Knowledge,Insurance,t,t,"""A""",100.00,2,2026-02-09 00:15:55.419455+00
001ecfb2-a613-4263-aedc-3e86370b9f11,pre,2026-02-09 00:26:25.323+00,674,Q13,,Behavioral and Risk Management Knowledge,Insurance,t,t,"""B""",0.00,2,2026-02-09 00:16:08.217715+00
001ecfb2-a613-4263-aedc-3e86370b9f11,pre,2026-02-09 00:26:25.323+00,674,Q14,,Behavioral and Risk Management Knowledge,Risk Diversification,t,t,"""B""",100.00,2,2026-02-09 00:16:15.302297+00
001ecfb2-a613-4263-aedc-3e86370b9f11,pre,2026-02-09 00:26:25.323+00,674,Q15,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,t,f,"""A""",,2,2026-02-09 00:16:21.35963+00
001ecfb2-a613-4263-aedc-3e86370b9f11,pre,2026-02-09 00:26:25.323+00,674,Q16,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,t,f,"""C""",,1,2026-02-09 00:16:38.920613+00
001ecfb2-a613-4263-aedc-3e86370b9f11,pre,2026-02-09 00:26:25.323+00,674,Q17,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,t,f,"""A""",,2,2026-02-09 00:16:51.636462+00
001ecfb2-a613-4263-aedc-3e86370b9f11,pre,2026-02-09 00:26:25.323+00,674,Q18,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,t,f,"""C""",,2,2026-02-09 00:17:02.835753+00
