response_id,attempt_id,item_id,anchor_item_id,domain,subdomain,type,variant_type,raw_answer,score,confidence,ai_confidence,created_at
7a71a725-92a1-4f20-af94-6843b0b84c9a,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q1,,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Compound Interest,multiple_choice,,"""C""",0.00,3,,2026-04-17 19:20:28.293411+00
557d0b29-2fdf-4001-b94b-73e2967bcbaf,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q10,,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Credit Reports,multiple_choice,,"""C""",100.00,2,,2026-04-17 19:20:31.920242+00
fa35ee07-9238-4edd-a149-463058a9de55,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q11,,Behavioral and Risk Management Knowledge,Risk Diversification,multiple_choice,,"""B""",100.00,3,,2026-04-17 19:26:52.773339+00
3ed68256-c9b2-4371-ab88-d935dfec70af,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q12,,Behavioral and Risk Management Knowledge,Insurance,multiple_choice,,"""A""",100.00,3,,2026-04-17 19:26:59.521015+00
ce3e7e82-2c42-45fa-b5ff-6b2e3697f2c9,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q13,,Behavioral and Risk Management Knowledge,Insurance,multiple_choice,,"""A""",100.00,3,,2026-04-17 19:28:30.408614+00
ffdb19a4-6d1a-4f32-990b-9843f7e59a91,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q14,,Behavioral and Risk Management Knowledge,Risk Diversification,multiple_choice,,"""B""",100.00,3,,2026-04-17 19:28:57.856407+00
88eafd1e-6eb5-483e-b402-ffb0893ba52c,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q15,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,multiple_choice,,"""B""",,3,,2026-04-17 19:29:19.4039+00
193ffe9c-701e-430c-9d67-916a23acc701,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q16,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,multiple_choice,,"""B""",,3,,2026-04-17 19:29:45.189172+00
f0950650-4a6a-4e91-9d6e-fc004b06ec3e,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q17,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,multiple_choice,,"""A""",,3,,2026-04-17 19:30:17.453958+00
a2b4a7a0-424c-4eb1-8c48-0f8a8bfebb95,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q18,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,multiple_choice,,"""C""",,3,,2026-04-17 19:31:42.940209+00
