user_id,attempt_id,wave,item_id,anchor_item_id,domain,subdomain,score,confidence,correct
010e87c8-d3f6-401b-bc8a-beb610e9cf0d,2a248e97-6ef7-44e1-99b1-2ee56d0fa15e,pre,Q1,,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Compound Interest,100.00,2,1
010e87c8-d3f6-401b-bc8a-beb610e9cf0d,2a248e97-6ef7-44e1-99b1-2ee56d0fa15e,pre,Q10,,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Credit Reports,0.00,1,0
010e87c8-d3f6-401b-bc8a-beb610e9cf0d,2a248e97-6ef7-44e1-99b1-2ee56d0fa15e,pre,Q11,,Behavioral and Risk Management Knowledge,Risk Diversification,100.00,2,1
010e87c8-d3f6-401b-bc8a-beb610e9cf0d,2a248e97-6ef7-44e1-99b1-2ee56d0fa15e,pre,Q12,,Behavioral and Risk Management Knowledge,Insurance,0.00,2,0
010e87c8-d3f6-401b-bc8a-beb610e9cf0d,2a248e97-6ef7-44e1-99b1-2ee56d0fa15e,pre,Q13,,Behavioral and Risk Management Knowledge,Insurance,0.00,1,0
010e87c8-d3f6-401b-bc8a-beb610e9cf0d,2a248e97-6ef7-44e1-99b1-2ee56d0fa15e,pre,Q14,,Behavioral and Risk Management Knowledge,Risk Diversification,100.00,3,1
010e87c8-d3f6-401b-bc8a-beb610e9cf0d,2a248e97-6ef7-44e1-99b1-2ee56d0fa15e,pre,Q15,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,,2,0
010e87c8-d3f6-401b-bc8a-beb610e9cf0d,2a248e97-6ef7-44e1-99b1-2ee56d0fa15e,pre,Q16,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,,2,0
010e87c8-d3f6-401b-bc8a-beb610e9cf0d,2a248e97-6ef7-44e1-99b1-2ee56d0fa15e,pre,Q17,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,,2,0
010e87c8-d3f6-401b-bc8a-beb610e9cf0d,2a248e97-6ef7-44e1-99b1-2ee56d0fa15e,pre,Q18,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,,3,0
010e87c8-d3f6-401b-bc8a-beb610e9cf0d,2a248e97-6ef7-44e1-99b1-2ee56d0fa15e,pre,Q19,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,,1,0
010e87c8-d3f6-401b-bc8a-beb610e9cf0d,2a248e97-6ef7-44e1-99b1-2ee56d0fa15e,pre,Q2,,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Borrowing/Mortgages,100.00,1,1
010e87c8-d3f6-401b-bc8a-beb610e9cf0d,2a248e97-6ef7-44e1-99b1-2ee56d0fa15e,pre,Q20,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,,2,0
010e87c8-d3f6-401b-bc8a-beb610e9cf0d,2a248e97-6ef7-44e1-99b1-2ee56d0fa15e,pre,Q21,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,,2,0
010e87c8-d3f6-401b-bc8a-beb610e9cf0d,2a248e97-6ef7-44e1-99b1-2ee56d0fa15e,pre,Q22,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,,1,0
010e87c8-d3f6-401b-bc8a-beb610e9cf0d,2a248e97-6ef7-44e1-99b1-2ee56d0fa15e,pre,Q23,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,,2,0
010e87c8-d3f6-401b-bc8a-beb610e9cf0d,2a248e97-6ef7-44e1-99b1-2ee56d0fa15e,pre,Q24,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,,2,0
010e87c8-d3f6-401b-bc8a-beb610e9cf0d,2a248e97-6ef7-44e1-99b1-2ee56d0fa15e,pre,Q25,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,,2,0
010e87c8-d3f6-401b-bc8a-beb610e9cf0d,2a248e97-6ef7-44e1-99b1-2ee56d0fa15e,pre,Q26,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,,2,0
010e87c8-d3f6-401b-bc8a-beb610e9cf0d,2a248e97-6ef7-44e1-99b1-2ee56d0fa15e,pre,Q27,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,,2,0
010e87c8-d3f6-401b-bc8a-beb610e9cf0d,2a248e97-6ef7-44e1-99b1-2ee56d0fa15e,pre,Q28,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,,2,0
010e87c8-d3f6-401b-bc8a-beb610e9cf0d,2a248e97-6ef7-44e1-99b1-2ee56d0fa15e,pre,Q29,,Risk and Return Knowledge,Interest Rates & Bonds,100.00,2,1
010e87c8-d3f6-401b-bc8a-beb610e9cf0d,2a248e97-6ef7-44e1-99b1-2ee56d0fa15e,pre,Q3,,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Inflation,0.00,1,0
010e87c8-d3f6-401b-bc8a-beb610e9cf0d,2a248e97-6ef7-44e1-99b1-2ee56d0fa15e,pre,Q30,,Risk and Return Knowledge,Risk-Return Tradeoff,0.00,1,0
010e87c8-d3f6-401b-bc8a-beb610e9cf0d,2a248e97-6ef7-44e1-99b1-2ee56d0fa15e,pre,Q31,,Risk and Return Knowledge,Stock Market Function,0.00,1,0
010e87c8-d3f6-401b-bc8a-beb610e9cf0d,2a248e97-6ef7-44e1-99b1-2ee56d0fa15e,pre,Q32,,Risk and Return Knowledge,Long-Term Asset Returns,100.00,2,1
010e87c8-d3f6-401b-bc8a-beb610e9cf0d,2a248e97-6ef7-44e1-99b1-2ee56d0fa15e,pre,Q33,,Risk and Return Knowledge,Probability (% to Count),100.00,2,1
010e87c8-d3f6-401b-bc8a-beb610e9cf0d,2a248e97-6ef7-44e1-99b1-2ee56d0fa15e,pre,Q34,,Risk and Return Knowledge,Diversification Effect,100.00,2,1
010e87c8-d3f6-401b-bc8a-beb610e9cf0d,2a248e97-6ef7-44e1-99b1-2ee56d0fa15e,pre,Q35,,Risk and Return Knowledge,Risk-Return Relationship,100.00,1,1
